text,label
k h ả _ n ă n g   t r u y ề n _ đ ạ t   d ễ   h i ể u   g i ú p   s i n h _ v i ê n   n ắ m   v ữ n g   k i ế n _ t h ứ c   .,0
"g i ả n g _ v i ê n   n h i ệ t _ t ì n h   ,   p h ư ơ n g _ p h á p   d ạ y   k h á   h a y   .",0
n ê n   đ ể   g i á o _ v i ê n   c ó   k i n h _ n g h i ệ m   d ạ y   m ô n   n à y   .,1
s l i d e   c ủ a   t h ầ y   đ ư a   c h o   s i n h _ v i ê n   c ó   n h i ề u   c h ỗ   s a i   .,1
"e m   n g h ĩ   l à   c ơ _ s ở   v ậ t _ c h ấ t   c ủ a   t r ư ờ n g   c ò n   y ế u _ k é m   ,   m á y _ c h i ế u   r ấ t   m ờ   ,   r ấ t   í t   k h i   n h ì n   r õ   đ ư ợ c   c h ữ   t r ê n   s l i d e   b à i   g i ả n g   .",2
"t h ầ y   w z j w z 8 1   l à   m ộ t   g i ả n g _ v i ê n   r ấ t   t â m _ h u y ế t   v ớ i   s i n h _ v i ê n   ,   t h ầ y   t ậ n _ t ì n h   c h ỉ   d ạ y   t ấ t _ c ả   n h ữ n g   đ i ề u   c h ú n g _ e m   c h ư a   r õ   .",0
g i ả n g _ v i ê n   n h i ệ t _ t ì n h   v à   t r u y ề n _ đ ạ t   d ễ   h i ể u   .,0
"t h ầ y   g i ả n g _ d ạ y   v à   h ư ớ n g _ d ẫ n   n h i ệ t _ t ì n h   ,   t ậ n _ t â m   n ộ i _ d u n g   t h ầ y   g i ả n g   k h ô n g _ c h ỉ   á p _ d ụ n g   c h o   h ọ c _ t ậ p   h i ệ n _ t ạ i   m à _ c ò n   c h o   t ư ơ n g _ l a i   c ô n g _ v i ệ c   s a u _ n à y   .",0
"t h ầ y   d ạ y   h a y   ,   d ễ   h i ể u   ,   t ì m   n h i ề u   b à i _ t ậ p   v à   c á c h   g i ả n g   h a y   c h o   h ọ c _ s i n h   h i ể u   v à   r ấ t   n h i ệ t _ t ì n h   .",0
m o n g   t h ầ y   c h o   t h ê m   b à i _ t ậ p   v ề   n h à   v à   s h a r e   s l i d e   .,0
k h ô n g _ c h ỉ   p h ầ n _ m ề m   .,3
k ỹ _ n ă n g   đ ọ c   c ủ a   e m   c ò n   c h ư a   t h ể _ h i ệ n   đ ư ợ c   .,3
c h ỉ   t h ô n g _ b á o   t r ê n   l ớ p   s ẽ   k h ó   t r á n h   s a i _ s ó t   .,3
c ô   d ạ y   n h a n h   .,0
t h ầ y   r ấ t   t ậ n _ t â m   g i ả n g _ d ạ y   .,0
d ù _ s a o   e m   c ũ n g   c á m _ ơ n   t h ầ y   đ ã   d ẫ n _ d ắ t   b ọ n   e m   ở   h ọ c _ k ỳ   h a i   n à y   ạ   .,2
g i ả n g _ v i ê n   r ấ t   n h i ệ t _ t ì n h   t r o n g   g i ả n g _ d ạ y   .,0
"n h i ệ t _ t ì n h   ,   g ầ n _ g ũ i   s i n h _ v i ê n   .",0
"g i ả n g _ v i ê n   d ạ y _ h ọ c   c ự c _ k ỳ   t ậ n _ t ì n h   ,   c ô   w z j w z 2 7 0   c ó   g i ả i   đ ề   v à   l ư u _ ý   t r ư ớ c   k h i   t h i   c h o   c ả   l ớ p   ,   c ô   c ũ n g   c h ỉ n h _ s ử a   đ ồ _ á n   c h o   n h ữ n g   n h ó m   t r ì n h _ b à y   đ ể   h o à n _ t h i ệ n   h ơ n   đ ồ _ á n   c ủ a   c á c   n h ó m   c o l o n s m i l e   .",0
c ầ n   t ă n g   g i ờ   t h ự c _ h à n h   đ ể   n ắ m   r õ   v à   c h ắ c   h ơ n   n ộ i _ d u n g   c ủ a   b à i _ h ọ c   .,1
đ ồ n g _ t h ờ i   b à i _ t ậ p   v à   t à i _ l i ệ u   t h ầ y   t h ự c _ s ự   đ ư ợ c   c u n g _ c ấ p   r ấ t   n h i ề u   .,0
c ô   c ó   n h i ề u   c h i a _ s ẻ   h a y   v ề   c u ộ c _ s ố n g   t h ô n g _ q u a   m ô n _ h ọ c   .,0
b à i _ t ậ p   đ a _ d ạ n g   .,1
"g i ả n g _ v i ê n   t r ả _ l ờ i   c â u   h ỏ i   c ủ a   s i n h _ v i ê n   t h i ế u   c h u y ê n _ n g h i ệ p   (   q u a _ l o a   ,   k h ô n g   đ ú n g   c h ủ _ đ ề   )   .",0
s ự   n h i ệ t _ h u y ế t   .,0
l u ô n   s ử _ d ụ n g   n h ữ n g   v í _ d ụ   c ó   t í n h   t h ự c _ t ế   .,0
t ậ n _ t ì n h   t r o n g   v i ệ c   g i ả i _ đ á p   t h ắ c _ m ắ c   c ủ a   s i n h _ v i ê n   .,0
"g i ả n g _ d ạ y   t ố t   ,   d ễ   h i ể u   ,   c h o   n h i ề u   b à i _ t ậ p   ô n _ l u y ệ n   d ễ   h i ể u   .",0
e m   m o n g   c ó   s ự   t h ố n g _ n h ấ t   g i ữ a   t h ầ y _ c ô   t r o n g   q u á _ t r ì n h   g i ả n g _ d ạ y   m ô n   n à y   .,0
"g i ả n g _ v i ê n   r ấ t   t ậ n _ t â m   ,   n ỗ _ l ự c   t r o n g   v i ệ c   g i ả n g _ d ạ y   .",0
t ă n g _ c ư ờ n g   ô n _ t ậ p   đ ể   k i ể m _ t r a   n h ư   d o u b l e d o t   c h o   s i n h _ v i ê n   l à m   t h ử   c á c   đ ề   k i ể m _ t r a   .,1
"t h ầ y   c h o   l à m   b à i _ t ậ p   n h ư n g   k h ô n g   g i ả i   ,   l à m   s i n h _ v i ê n   k h ô n g   b i ế t   đ ú n g _ s a i   n h ư _ t h ế _ n à o   .",0
"d ạ y   d ễ   h i ể u   ,   v u i _ v ẻ   ,   t ậ n _ t ì n h   .",0
t h ầ y   d ạ y   đ ú n g   y ê u _ c ầ u   b u ổ i   h ọ c   .,0
"v u i _ v ẻ   ,   k h á   c h ă m _ l o   c h o   s i n h _ v i ê n   .",0
b u ổ i   n à o   c ũ n g   đ ề u   d à i   q u á   m ứ c   c ầ n _ t h i ế t   g â y   m ệ t _ m ỏ i   .,1
"g i ả n g _ d ạ y   r ấ t   n h i ệ t _ t ì n h   ,   t ạ o   c h o   s i n h _ v i ê n   c ó   t í n h   c h ủ _ đ ộ n g   ,   r è n _ l u y ệ n   k ỹ _ n ă n g   l à m _ v i ệ c   n h ó m   .",0
n h i ệ t _ t ì n h   v à   c ó   t i n h _ t h ầ n   t r á c h _ n h i ệ m   c a o   .,0
t h ầ y   g i ả n g   b à i   r ấ t   c ó   t â m _ h u y ế t   .,0
"s ả n _ p h ẩ m   m ì n h   l à m   r a   ,   đ e m   n g ư ờ i   k h á c   b á o _ c á o   t h ì   k h ô n g   đ ư ợ c   h ợ p _ l ý   .",3
k h u y ế n _ k h í c h   p h á t _ b i ể u   t r o n g   g i ờ   h ọ c   v à   đ ư a   r a   c á c   b à i _ t ậ p   k h ó   c ộ n g   đ i ể m   đ ể   t ạ o   h ứ n g _ t h ú   c h o   h ọ c _ s i n h   .,0
"n ộ i _ d u n g   m ô n _ h ọ c   q u á   n h i ề u   s o   v ớ i   t h ờ i _ l ư ợ n g   m ộ t   h ọ c _ k ỳ   ,   m ô n   t r o n g   t o à n _ b ộ   c h ư ơ n g _ t r ì n h   đ à o _ t ạ o   t h ì   c h ỉ   c ó   d u y _ n h ấ t   m ô n   n à y   l i ê n _ q u a n   đ ế n   t í n _ h i ệ u   s ố   v à   l à   m ộ t   p h ầ n   k h á   q u a n _ t r ọ n g   t r o n g   k ỹ _ n ă n g   k i ế n _ t h ứ c   c ầ n   c ó   ,   n h ư n g   t h ờ i _ l ư ợ n g   b ố _ t r í   c h ỉ   c ó   m ộ t   h ọ c _ k ỳ   v à   c h ỉ   m ộ t   m ô n   ,   k h i ế n   n ộ i _ d u n g   p h ả i   n h ồ i _ n h é t   k h á   n h i ề u   ,   k i ế n _ t h ứ c   c h ỉ   ở   c ơ _ b ả n   v à   k h ô n g _ t h ể   c h u y ê n _ s â u   đ ư ợ c   .",1
c ó _ t h ể   m ờ i   t h ê m   c á c   a n h _ c h ị   k h o á   t r ê n   t h a m _ g i a   c h i a _ s ẻ   k i n h _ n g h i ệ m   h ọ c _ t ậ p   c ũ n g   n h ư   l à m _ v i ệ c   .,0
t h ư ờ n g _ x u y ê n   d ạ y   q u á   g i ờ   .,0
v u i _ n h ộ n   v à   h à i _ h ư ớ c   .,0
"t h ầ y   h a y   c h o   d e a d l i n e   h ằ n g   t u ầ n   ,   đ ả m _ b ả o   k i ế n _ t h ứ c   c h o   s i n h _ v i ê n   .",0
đ ộ n g _ l ự c _ h ọ c   v à   k h ô n g _ k h í   c h ư a   c ó   m ạ n h _ m ẽ   .,0
"t í c h _ c ự c   g i ú p _ đ ỡ   s i n h _ v i ê n   k h i   g ặ p   k h ú c _ m ắ c   ,   p h ư ơ n g _ p h á p   d ạ y   v u i   ,   t h o ả i _ m á i   x e n _ k ẽ   c h u y ê n _ s â u   .",0
c h ú c   t h ầ y   s ẽ   n h ữ n g   t h à n h _ c ô n g   t r o n g   v i ệ c   g i ả n g _ d ạ y   s ắ p   t ớ i   .,0
n h ư n g   k i ế n _ t h ứ c   c ơ _ b ả n   c ò n   c h ư a   n ắ m   t h ì   l à m _ s a o   m à   l à m   đ ư ợ c   .,1
k h ô n g   c ó   đ i ề u   g ì   !,3
c ầ n   t r a n g _ b ị   t h i ế t _ b ị   t h ự c _ h à n h   h i ệ n _ đ ạ i   h ơ n   .,2
g i á o _ v i ê n   n ê n   t h e o _ d õ i   s i n h _ v i ê n   s á t _ s a o   h ơ n   .,0
k h ô n g   t r u y ề n   đ ư ợ c   c ả m _ h ứ n g   h ọ c _ t ậ p   .,0
t h ầ y   w z j w z 8 3   c ầ n   n â n g   c a o   s ự   a m _ h i ể u   v ề   m ô n _ h ọ c   đ ể   p h ụ c _ v ụ   g i ả n g _ d ạ y   .,0
"t h ầ y   v u i _ t í n h   ,   n h i ệ t _ t ì n h   ,   h a y   c ư ờ i   .",0
m ô n   n à y   đ ổ i   g i á o _ v i ê n   d ạ y   t h a y   q u á   c h ậ m   l à m   m ấ t   n h i ề u   t h ờ i _ g i a n   c ủ a   s i n h _ v i ê n   .,0
"n ê n   t ă n g _ c ư ờ n g   d ạ y   t ừ _ v ự n g   ,   b ị   h ỏ n g   k i ế n _ t h ứ c   v ề   t ừ _ v ự n g   .",1
"h o ặ c   d ạ y   t h ê m   c á c   k i n h _ n g h i ệ m   k h i   p h ỏ n g _ v ấ n   x i n   v i ệ c   ,   x i n   h ọ c _ b ổ n g   ,   x i n   t h ự c _ t ậ p   .",1
c ầ n   g i ả n g _ v i ê n   l ê n _ l ớ p   t h ư ờ n g _ x u y ê n   h ơ n   .,0
"g i á o _ t r ì n h   r õ _ r à n g   ,   b à i _ t ậ p   đ ầ y _ đ ủ   n ộ i _ d u n g   đ ã   h ọ c   .",0
"c ô   d ạ y   c h ậ m   ,   d ễ   h i ể u   .",0
g i ả n g _ v i ê n   t ậ n _ t ì n h   g i ú p _ đ ỡ   .,0
n ê n   g i ả m   t h ờ i _ l ư ợ n g   m ô n _ h ọ c   c ò n   7   t u ầ n   v à   t ă n g   t h ờ i _ g i a n   m ỗ i   b u ổ i   h ọ c   l ê n   4   t i ế t   .,1
q u a   m ô n _ h ọ c   n à y   t ô i   c ò n   k h ô n g   b i ế t   đ ư ợ c   m ì n h   h ọ c   đ ư ợ c   n h ữ n g   g ì   .,1
c h o   đ i ể m   k h á c h _ q u a n   .,0
"g i ả n g _ d ạ y   t h e o   p h ư ơ n g _ p h á p   m ớ i   ,   t h ú _ v ị   ,   d ễ   h i ể u   .",0
g i ả n g _ v i ê n   n ê n   d ạ y   l â u   h ơ n   m ỗ i   b u ổ i   h ọ c   .,0
"c ô   g i ả n g _ d ạ y   c ó   t â m   v à   n h i ệ t _ t ì n h   g i ú p _ đ ỡ   s i n h _ v i ê n   ,   g i ú p   s i n h _ v i ê n   h i ể u   s â u   v à   v ậ n _ d ụ n g   c á c   v ấ n _ đ ề   đ ã   h ọ c   v à o   t h ự c _ t i ễ n   .",0
g i ả n g   h ơ i   k h ó   h i ể u   t ý   .,0
"t h ầ y   d ễ _ t í n h   ,   d ạ y   d ễ   h i ể u   ,   t h ầ y   d ạ y   h a y   .",0
c ô   d ạ y   r ấ t   h a y _ h a y   v à   n h i ệ t _ t ì n h   .,0
t r o n g   q u á _ t r ì n h   g i ả n g _ d ạ y   g i ả n g _ v i ê n   l u ô n   n h i ệ t _ t ì n h   v ớ i   s i n h _ v i ê n   .,0
"g i ả n g _ v i ê n   g i ả n g   b à i   d ễ   h i ể u   ,   c ó   v í _ d ụ   m i n h _ h o ạ   c ụ _ t h ể   t ừ n g   p h ầ n   g i ú p   s i n h _ v i ê n   h i ể u   k ỹ   h ơ n   v ề   v ấ n _ đ ề   đ ư ợ c   đ ề _ c ậ p   đ ế n   ạ   .",0
b à i   g i ả n g   v à   t h ự c _ h à n h   đ a _ d ạ n g   .,1
"s ự   t ậ n _ t â m   c ủ a   t h ầ y   ,   c á c   v í _ d ụ   đ ơ n _ g i ả n   ,   d ễ   h i ể u   .",0
t h ầ y   d ạ y   c h ủ _ y ế u   c h ứ n g _ m i n h   c ô n g _ t h ứ c   c ó   s ẵ n   n ê n   h a y   m ấ t   t h ờ i _ g i a n   v à   k h ô n g   đ ư a   r a   t r ọ n g _ t â m   c h o   s i n h _ v i ê n   h ọ c   !,0
g i á o _ v i ê n   r ấ t   t h â n _ t h i ệ n   .,0
"t h ầ y   c ó   t â m _ h u y ế t   t r o n g   v i ệ c   g i ả n g _ d ạ y   ,   s ẵ n _ s à n g   g i ả n g   l ạ i   n h ữ n g   k i ế n _ t h ứ c   c h ư a   r õ   .",0
đ ề   t h i   t h ì   t r o n g   v ò n g   9 0   p h ú t   p h ả i   c o d e   h o à n   c h í n h   g a m e   2 0 4 8   .,1
"t h ầ y   r ấ t   n h i ệ t _ t ì n h   v à   k i ế n _ t h ứ c   r ấ t   p h o n g _ p h ú   ,   c ó   h ệ _ t h ố n g   l ạ i   k i ế n _ t h ứ c   m ỗ i   b u ổ i   .",0
"đ i   t r ễ   b a   b u ổ i   k h ô n g   đ ư ợ c   đ i ể m _ d a n h   t r ễ   ,   m ộ t   b u ổ i   t h ầ y   t ừ _ c h ố i   đ i ể m _ d a n h   t r ễ   .",0
c ô   n h i ệ t _ h u y ế t   t r o n g   v i ệ c   r è n   c h o   s i n h _ v i ê n   l à m   n h i ề u   v à   t ự   n g h i ê n _ c ứ u   n h i ề u   đ i ề u   n à y   g i ú p   s i n h _ v i ê n   c ó   k h ả _ n ă n g   t ự   h ọ c   t ự   n g h i ê n _ c ứ u   .,0
"c ô   d ạ y   n h i ệ t _ t ì n h   ,   t h o ả i _ m á i   ,   v u i _ v ẻ   v à   t ậ n _ t ì n h   .",0
m o n g   n h à _ t r ư ờ n g   s ẽ   n â n g   c a o   c ơ _ s ở   v ậ t _ c h ấ t   t r o n g   p h ò n g   m á y   đ ể   đ ả m _ b ả o   h i ệ u _ q u ả   h ơ n   .,2
g ầ n   c u ố i   k ỳ   g i ả n g _ v i ê n   m ớ i   đ ư a   r a   đ ề _ t à i   l à m   đ ồ _ á n   g â y   k h ó _ k h ă n   c h o   s i n h _ v i ê n   .,0
g i ả n g _ v i ê n   c ầ n   q u a n _ t â m   đ ế n   s i n h _ v i ê n   n h i ề u   h ơ n   .,0
"e m   k h ô n g _ t h ể   đ i   h ọ c   m ô n   w z j w z 7 5   ,   n ê n   h ọ c _ k ỳ   n à y   s ẽ   n ợ   m ô n   n à y   .",3
t h ầ y   r ấ t   n h i ệ t _ t ì n h   t r o n g   v i ệ c   g i ả n g _ d ạ y   .,0
k h ô n g   t h ấ y   l ê n _ l ớ p   .,0
đ ô i _ k h i   n g h ỉ   h ọ c   k h ô n g   t h ô n g _ b á o   t r ư ớ c   .,0
"g i ả n g _ v i ê n   đ ứ n g _ l ớ p   d ạ y   c h ư a   t r ò n   t r á c h _ n h i ệ m   ,   c ò n   h ờ i _ h ợ t   .",0
"v ậ y   c ó _ t h ể   d ễ   q u a   m ô n   h ơ n   ,   g i ả i   b à i _ t ậ p   í t   q u á   ,   e m   k h ô n g   h i ể u   c o l o n s a d   .",0
t u â n _ t h ủ   đ ú n g   g i ờ   h ọ c   .,0
"g i ả n g _ v i ê n   r ấ t   t ậ n _ t â m   ,   g i ả n g _ d ạ y   k ỹ _ l ư ỡ n g   .",0
c h ư a   s ử _ d ụ n g   h ệ _ t h ố n g   m o o d l e   .,0
h i ể u   đ ư ợ c   c á c   k i ế n _ t h ứ c   q u a n _ t r ọ n g   c ủ a   m ô n _ h ọ c   .,1
"t h ầ y   c ự c _ k ỳ   t ậ n _ t â m   n h i ệ t _ t ì n h   ,   g i ả n g   b à i   r ấ t   d ễ   n h ớ   .",0
"m ộ t _ s ố   b à i   t h ầ y   g i ả n g   c ò n   k h ó   h i ể u   ,   í t   s á t   t h ự c   h à n h   v à   í t   s ử a   b à i _ t ậ p   v ề   n h à   .",0
p h ầ n   b à i _ t ậ p   t h ự c _ h à n h   n ê n   b á m   s á t   v ớ i   p h ầ n   l ý _ t h u y ế t   .,1
"g i ả n g _ v i ê n   n h i ệ t _ t ì n h   ,   g i ả n g _ d ạ y   t ố t   ,   d ễ   h i ể u   .",0
"c ơ _ s ở   v ậ t _ c h ấ t   ,   p h ỏ n g   m á y   k h ô n g   đ ủ   p h í c h   c ắ m   c h o   d ụ n g _ c ụ   t h ự c _ h à n h   v à   s ố _ l ư ợ n g   s i n h _ v i ê n   ,   m á y   c ò n   t i ề m _ ẩ n   n h i ề u   v i r u s   .",2
e m   t h ấ y   h ọ c   t h ự c _ h à n h   l à   t i ế p _ t h u   n h i ề u   h ơ n   h ọ c   l ý _ t h u y ế t   v à   t h ầ y   d ạ y   r ấ t   n h i ệ t _ t ì n h   .,1
"t h ầ y   w z j w z 2 0 1   d ạ y   n h i ệ t _ t ì n h   ,   g i ả n g   d ễ   h i ể u   .",0
c ầ n   c h o   n h i ề u   b à i _ t ậ p   v ề   n h à   h ơ n _ n ữ a   .,0
"c ô   d ạ y   n h a n h   l ắ m   ,   c h ú n g _ e m   k h ô n g   t h e o   k ị p   .",0
c h o   n h i ề u   b à i _ t ậ p   h a y   .,0
l ị c h   h ọ c   t r ù n g   v ớ i   l ị c h   h ọ c   m ô n   k h á c   c ó   đ i ể m _ d a n h   t ừ n g   b u ổ i   n ê n   h ầ u _ n h ư   n h ó m   h ọ c   c ủ a   e m   k h ô n g   b ạ n   n à o   h ọ c   đ ư ợ c   1   b u ổ i   n à o   .,1
"t h ầ y   w z j w z 2 5 2   g i ả n g   b à i   r ấ t   t h u _ h ú t   ,   k i ế n _ t h ứ c   t h ầ y   r ấ t   r ộ n g   ,   l u ô n   g i ả i _ đ á p   t h ắ c _ m ắ c   c h o   s i n h _ v i ê n   .",0
"t h ầ y   d ạ y   r ấ t   d ễ   h i ể u   ,   c h o   n h i ề u   b à i _ t ậ p   .",0
c ầ n   n h i ề u   h o ạ t _ đ ộ n g   n g o ạ i _ k h o á   .,3
"c ô   d ễ _ t h ư ơ n g   ,   n h í _ n h ả n h   ,   t r u y ề n _ đ ạ t   d ễ   h i ể u   t h ấ u _ h i ể u   t â m _ l ý   s i n h _ v i ê n   c o l o n s m i l e   .",0
"d ạ y   d ễ   h i ể u   ,   n h i ệ t _ t ì n h   ,   t u y ệ t _ v ờ i   .",0
"b à i _ t ậ p   k h i   h ọ c   t h ự c _ h à n h   c ơ _ b ả n   ,   d ễ   h i ể u   .",1
t h ầ y   đ ú n g   g i ờ   .,0
l ớ p   t r ư ở n g   q u ả n _ l ý   1 9   -   2 0   n h ó m   t r o n g   l ớ p   đ ò i _ h ỏ i   l ớ p   t r ư ở n g   p h ả i   c ó   k i ế n _ t h ứ c   t ố t   v à   t r á c h _ n h i ệ m   .,1
"g i ả n g _ d ạ y   v à   h ư ớ n g _ d ẫ n   b à i _ t ậ p   c ầ n   c ụ _ t h ể   h ơ n   ,   c ầ n   c ó   t à i _ l i ệ u   t r ê n   w e b s i t e   m ô n _ h ọ c   .",0
b à i _ t ậ p   n ê n   m a n g   t í n h   b ắ t _ b u ộ c   v à   c h o   đ i ể m   c ộ n g   t h ì   s ẽ   t ạ o   đ ư ợ c   đ ộ n g _ l ự c   c ũ n g   n h ư   h ứ n g _ t h ú   c h o   s i n h _ v i ê n   h ơ n   .,1
g i ả n g _ v i ê n   r ấ t   v u i _ t í n h   .,0
"t u y _ n h i ê n   ,   m ọ i   c h u y ệ n   n h ư   l ờ i _ n ó i   đ ã   k h ô n g   x ả y   r a   !",3
"t h ầ y   g i ả n g   r ấ t   k ỹ   v à   d ễ   h i ể u   ,   c h o   r ấ t   n h i ề u   b à i _ t ậ p   g i ú p   s i n h _ v i ê n   ứ n g _ d ụ n g   v à   n h ớ   đ ư ợ c   n h ữ n g   g ì   đ ã   h ọ c   .",0
c ô   t ậ n _ t ì n h   v ớ i   s i n h _ v i ê n   .,0
"đ ề _ n g h ị   t r ư ờ n g   x e m _ x é t   l ạ i   n ộ i _ d u n g   đ ề   t h i   c h o   p h ù _ h ợ p   v ớ i   t h ờ i _ l ư ợ n g   ,   b à i   n g h e   k h ô n g   r õ _ r à n g   g â y   n h i ề u   k h ó _ k h ă n   c h o   s i n h _ v i ê n   .",1
t h ầ y   n ê n   g ử i   c h o   l ớ p   s l i d e   b à i _ t ậ p   ạ   .,0
"c ô   d ạ y   r ấ t   d ễ   h i ể u   ,   c ô   v u i _ t í n h   n ữ a   c o l o n b i g s m i l e   .",0
"m ô n _ h ọ c   c ó   n h i ề u   k i ế n _ t h ứ c   k h ó   ,   g i ả n g _ v i ê n   t r u y ề n _ đ ạ t   k i ế n _ t h ứ c   c h ư a   h o à n _ t o à n   h i ệ u _ q u ả   .",0
"g i ả n g _ v i ê n   n ê n   t h a y _ đ ổ i   h ì n h _ t h ứ c   d ạ y   ,   h i ể u   s i n h _ v i ê n   h ơ n   .",0
q u á   k h ó   v à   r ấ t   k h ó   .,0
c ó   m ộ t   l ầ n   c ú p   đ i ệ n   c ô   k h ô n g   d ù n g   s l i d e   đ ể   g i ả n g   b à i   e m   t h ấ y   d ễ   h i ể u   h ơ n   n h i ề u   .,0
k i ế n _ t h ứ c   n à y   l i ệ u   c ó   c h ắ c   l à   c ơ _ b ả n   v à   đ ư ợ c   c ậ p _ n h ậ t   p h ù _ h ợ p   v ớ i   d â n   i t   h i ệ n _ n a y   c h ư a   .,1
k h ô n g   k i ể m _ s o á t   đ ư ợ c   l ớ p   .,0
"t h ầ y   đ ã   n h ậ n _ x é t   d o u b l e d o t   ""   c á c   b ạ n   c h ỉ   n ó i   t h e o   c á c h   h i ể u   c ủ a   c á c   b ạ n   ,   n ộ i _ d u n g   t h u y ế t _ t r ì n h   đ ã   c h á n   ,   m à   c á c   b ạ n   k h ô n g   c ó   s ả n _ p h ẩ m   đ ể   d e m o   g i ớ i _ t h i ệ u   ""   .",0
"g i ả n g _ v i ê n   c h o   s i n h _ v i ê n   t h ự c _ h i ệ n   m ộ t   d ự _ á n   t h ự c _ t ế   n g o à i   n ộ i _ d u n g   m ô n _ h ọ c   ,   v ớ i   m ụ c _ t i ê u   á p _ d ụ n g   q u y _ t r ì n h   s c r u m   .",0
"h y _ v ọ n g   k ỳ   s a u   b ộ _ m ô n   a n h   v ă n   c ả i _ t i ế n   p h ư ơ n g _ p h á p   d ạ y   ,   v à   g i á o _ t r ì n h   ,   c h o   s i n h _ v i ê n   n g h e   n ó i   n h i ề u   h ơ n   ,   đ ô i _ k h i   b ả o   s i n h _ v i ê n   d ị c h   m ộ t   đ o ạ n   đ ể   k i ể m _ t r a   t ừ _ v ự n g   ,   e m   t h ấ y   g i á o _ v i ê n   c ũ n g   t h ư ơ n g   c h o   s i n h _ v i ê n   t h ả o   t h u ậ n   c ặ p   đ ể   n ó i   ,   n h ư n g   t h ậ t _ s ự   c á c   b ạ n   k h ô n g   b i ế t   n ó i   g ì   ,   n g o à i   v i ệ c   d ị c h   t i ế n g   v i ệ t   g h é p   n g h ĩ a   t i ế n g   a n h   !",1
c ô   g i ả n g   r ấ t   d ễ   h i ể u   .,0
"m i c r o   v à   c á c   t h i ế t _ b ị   â m _ t h a n h   ,   m á y _ c h i ế u   c ầ n   n â n g _ c ấ p   .",2
"c ô   r ấ t   t ậ n _ t â m   ,   n h i ệ t _ t ì n h   ,   đ e m   h ế t   k i n h _ n g h i ệ m   c ũ n g   n h ư   k i ế n _ t h ứ c   c ủ a   m ì n h   đ ể   t r u y ề n _ đ ạ t   c h o   s i n h _ v i ê n   ,   c ô   l u ô n   t ạ o   c ả m _ h ứ n g   h ọ c _ t ậ p   .",0
"s l i d e   b à i   g i ả n g   t ố t   ,   g i ả n g _ v i ê n   g i ả i _ đ á p   v ấ n _ đ ề   t ố t   .",1
"b à i   d ạ y   p h ụ _ t h u ộ c   n h i ề u   v à o   s l i d e   ,   c á c h   t r u y ề n _ đ ạ t   c h ư a   t h ự c _ s ự   p h ù _ h ợ p   v ớ i   c á _ n h â n   .",0
c h ơ i   t r ò _ c h ơ i   .,3
"g i ả n g _ v i ê n   h o à _ đ ồ n g   ,   v u i _ v ẻ   ,   c h ỉ   g i ả n g   t ậ n _ t ì n h   s i n h _ v i ê n   h a m   h ọ c _ h ỏ i   .",0
t h ầ y   d ạ y   t í c h _ c ự c   .,0
"q u á   n h à m _ c h á n   ,   k h ô n g   n â n g   c a o   đ ư ợ c   k i ế n _ t h ứ c   .",1
